PATH,ACTUAL FLOW,Date,Time
Montana,-215,2021-03-20,18:02
Saskatchewan,0,2021-03-20,18:02
TOTAL,-767,2021-03-20,18:02
﻿British Columbia,-553,2021-03-20,18:04
Montana,-219,2021-03-20,18:04
Saskatchewan,0,2021-03-20,18:04
TOTAL,-772,2021-03-20,18:04
﻿British Columbia,-531,2021-03-20,18:06
Montana,-211,2021-03-20,18:06
Saskatchewan,0,2021-03-20,18:06
TOTAL,-742,2021-03-20,18:06
﻿British Columbia,-525,2021-03-20,18:08
Montana,-212,2021-03-20,18:08
Saskatchewan,0,2021-03-20,18:08
TOTAL,-737,2021-03-20,18:08
﻿British Columbia,-528,2021-03-20,18:10
Montana,-216,2021-03-20,18:10
Saskatchewan,0,2021-03-20,18:10
TOTAL,-744,2021-03-20,18:10
﻿British Columbia,-544,2021-03-20,18:12
Montana,-224,2021-03-20,18:12
Saskatchewan,0,2021-03-20,18:12
TOTAL,-768,2021-03-20,18:12
﻿British Columbia,-555,2021-03-20,18:14
Montana,-229,2021-03-20,18:14
Saskatchewan,0,2021-03-20,18:14
TOTAL,-784,2021-03-20,18:14
﻿British Columbia,-552,2021-03-20,18:16
Montana,-215,2021-03-20,18:16
Saskatchewan,0,2021-03-20,18:16
TOTAL,-767,2021-03-20,18:16
﻿British Columbia,-550,2021-03-20,18:18
Montana,-223,2021-03-20,18:18
Saskatchewan,0,2021-03-20,18:18
TOTAL,-773,2021-03-20,18:18
﻿British Columbia,-548,2021-03-20,18:20
Montana,-218,2021-03-20,18:20
Saskatchewan,0,2021-03-20,18:20
TOTAL,-766,2021-03-20,18:20
﻿British Columbia,-567,2021-03-20,18:23
Montana,-221,2021-03-20,18:23
Saskatchewan,0,2021-03-20,18:23
TOTAL,-788,2021-03-20,18:23
﻿British Columbia,-574,2021-03-20,18:25
Montana,-218,2021-03-20,18:25
Saskatchewan,0,2021-03-20,18:25
TOTAL,-792,2021-03-20,18:25
﻿British Columbia,-560,2021-03-20,18:27
Montana,-215,2021-03-20,18:27
Saskatchewan,0,2021-03-20,18:27
TOTAL,-775,2021-03-20,18:27
﻿British Columbia,-545,2021-03-20,18:29
Montana,-214,2021-03-20,18:29
Saskatchewan,0,2021-03-20,18:29
TOTAL,-759,2021-03-20,18:29
﻿British Columbia,-546,2021-03-20,18:31
Montana,-218,2021-03-20,18:31
Saskatchewan,0,2021-03-20,18:31
TOTAL,-764,2021-03-20,18:31
﻿British Columbia,-553,2021-03-20,18:33
Montana,-221,2021-03-20,18:33
Saskatchewan,0,2021-03-20,18:33
TOTAL,-774,2021-03-20,18:33
﻿British Columbia,-558,2021-03-20,18:35
Montana,-215,2021-03-20,18:35
Saskatchewan,0,2021-03-20,18:35
TOTAL,-773,2021-03-20,18:35
﻿British Columbia,-542,2021-03-20,18:37
Montana,-212,2021-03-20,18:37
Saskatchewan,0,2021-03-20,18:37
TOTAL,-754,2021-03-20,18:37
﻿British Columbia,-507,2021-03-20,18:39
Montana,-197,2021-03-20,18:39
Saskatchewan,0,2021-03-20,18:39
TOTAL,-704,2021-03-20,18:39
﻿British Columbia,-511,2021-03-20,18:41
Montana,-196,2021-03-20,18:41
Saskatchewan,0,2021-03-20,18:41
TOTAL,-707,2021-03-20,18:41
﻿British Columbia,-492,2021-03-20,18:43
Montana,-201,2021-03-20,18:43
Saskatchewan,0,2021-03-20,18:43
TOTAL,-693,2021-03-20,18:43
﻿British Columbia,-477,2021-03-20,18:45
Montana,-208,2021-03-20,18:45
Saskatchewan,0,2021-03-20,18:45
TOTAL,-685,2021-03-20,18:45
﻿British Columbia,-534,2021-03-20,18:47
Montana,-220,2021-03-20,18:47
Saskatchewan,0,2021-03-20,18:47
TOTAL,-754,2021-03-20,18:47
﻿British Columbia,-490,2021-03-20,18:49
Montana,-203,2021-03-20,18:49
Saskatchewan,0,2021-03-20,18:49
TOTAL,-693,2021-03-20,18:49
﻿British Columbia,-510,2021-03-20,18:51
Montana,-205,2021-03-20,18:51
Saskatchewan,0,2021-03-20,18:51
TOTAL,-715,2021-03-20,18:51
﻿British Columbia,-493,2021-03-20,18:53
Montana,-197,2021-03-20,18:53
Saskatchewan,0,2021-03-20,18:53
TOTAL,-690,2021-03-20,18:53
﻿British Columbia,-516,2021-03-20,18:55
Montana,-196,2021-03-20,18:55
Saskatchewan,0,2021-03-20,18:55
TOTAL,-712,2021-03-20,18:55
﻿British Columbia,-514,2021-03-20,18:57
Montana,-208,2021-03-20,18:57
Saskatchewan,0,2021-03-20,18:57
TOTAL,-722,2021-03-20,18:57
﻿British Columbia,-533,2021-03-20,18:59
Montana,-204,2021-03-20,18:59
Saskatchewan,0,2021-03-20,18:59
TOTAL,-737,2021-03-20,18:59
﻿British Columbia,-535,2021-03-20,19:01
Montana,-212,2021-03-20,19:01
Saskatchewan,0,2021-03-20,19:01
TOTAL,-747,2021-03-20,19:01
﻿British Columbia,-555,2021-03-20,19:04
Montana,-219,2021-03-20,19:04
Saskatchewan,0,2021-03-20,19:04
TOTAL,-774,2021-03-20,19:04
﻿British Columbia,-534,2021-03-20,19:06
Montana,-213,2021-03-20,19:06
Saskatchewan,0,2021-03-20,19:06
TOTAL,-747,2021-03-20,19:06
﻿British Columbia,-544,2021-03-20,19:08
Montana,-206,2021-03-20,19:08
Saskatchewan,0,2021-03-20,19:08
TOTAL,-750,2021-03-20,19:08
﻿British Columbia,-517,2021-03-20,19:10
Montana,-199,2021-03-20,19:10
Saskatchewan,0,2021-03-20,19:10
TOTAL,-716,2021-03-20,19:10
﻿British Columbia,-541,2021-03-20,19:12
Montana,-206,2021-03-20,19:12
Saskatchewan,0,2021-03-20,19:12
TOTAL,-747,2021-03-20,19:12
﻿British Columbia,-540,2021-03-20,19:14
Montana,-212,2021-03-20,19:14
Saskatchewan,0,2021-03-20,19:14
TOTAL,-752,2021-03-20,19:14
﻿British Columbia,-557,2021-03-20,19:16
Montana,-211,2021-03-20,19:16
Saskatchewan,0,2021-03-20,19:16
TOTAL,-768,2021-03-20,19:16
﻿British Columbia,-557,2021-03-20,19:18
Montana,-215,2021-03-20,19:18
Saskatchewan,0,2021-03-20,19:18
TOTAL,-772,2021-03-20,19:18
﻿British Columbia,-538,2021-03-20,19:20
Montana,-212,2021-03-20,19:20
Saskatchewan,0,2021-03-20,19:20
TOTAL,-750,2021-03-20,19:20
﻿British Columbia,-540,2021-03-20,19:22
Montana,-215,2021-03-20,19:22
Saskatchewan,0,2021-03-20,19:22
TOTAL,-755,2021-03-20,19:22
﻿British Columbia,-524,2021-03-20,19:24
Montana,-202,2021-03-20,19:24
Saskatchewan,0,2021-03-20,19:24
TOTAL,-726,2021-03-20,19:24
﻿British Columbia,-527,2021-03-20,19:26
Montana,-203,2021-03-20,19:26
Saskatchewan,0,2021-03-20,19:26
TOTAL,-730,2021-03-20,19:26
﻿British Columbia,-543,2021-03-20,19:28
Montana,-217,2021-03-20,19:28
Saskatchewan,0,2021-03-20,19:28
TOTAL,-760,2021-03-20,19:28
﻿British Columbia,-554,2021-03-20,19:30
Montana,-209,2021-03-20,19:30
Saskatchewan,0,2021-03-20,19:30
TOTAL,-763,2021-03-20,19:30
﻿British Columbia,-558,2021-03-20,19:32
Montana,-216,2021-03-20,19:32
Saskatchewan,0,2021-03-20,19:32
TOTAL,-774,2021-03-20,19:32
﻿British Columbia,-553,2021-03-20,19:34
Montana,-212,2021-03-20,19:34
Saskatchewan,0,2021-03-20,19:34
TOTAL,-765,2021-03-20,19:34
﻿British Columbia,-531,2021-03-20,19:36
Montana,-205,2021-03-20,19:36
Saskatchewan,0,2021-03-20,19:36
TOTAL,-736,2021-03-20,19:36
﻿British Columbia,-534,2021-03-20,19:38
Montana,-202,2021-03-20,19:38
Saskatchewan,0,2021-03-20,19:38
TOTAL,-736,2021-03-20,19:38
﻿British Columbia,-539,2021-03-20,19:40
Montana,-200,2021-03-20,19:40
Saskatchewan,0,2021-03-20,19:40
TOTAL,-739,2021-03-20,19:40
﻿British Columbia,-547,2021-03-20,19:43
Montana,-207,2021-03-20,19:43
Saskatchewan,0,2021-03-20,19:43
TOTAL,-754,2021-03-20,19:43
﻿British Columbia,-557,2021-03-20,19:45
Montana,-213,2021-03-20,19:45
Saskatchewan,0,2021-03-20,19:45
TOTAL,-770,2021-03-20,19:45
﻿British Columbia,-567,2021-03-20,19:47
Montana,-212,2021-03-20,19:47
Saskatchewan,0,2021-03-20,19:47
TOTAL,-779,2021-03-20,19:47
﻿British Columbia,-546,2021-03-20,19:49
Montana,-207,2021-03-20,19:49
Saskatchewan,0,2021-03-20,19:49
TOTAL,-753,2021-03-20,19:49
﻿British Columbia,-549,2021-03-20,19:51
Montana,-219,2021-03-20,19:51
Saskatchewan,0,2021-03-20,19:51
TOTAL,-768,2021-03-20,19:51
﻿British Columbia,-562,2021-03-20,19:53
Montana,-221,2021-03-20,19:53
Saskatchewan,0,2021-03-20,19:53
TOTAL,-783,2021-03-20,19:53
﻿British Columbia,-537,2021-03-20,19:55
Montana,-213,2021-03-20,19:55
Saskatchewan,0,2021-03-20,19:55
TOTAL,-750,2021-03-20,19:55
﻿British Columbia,-575,2021-03-20,19:57
Montana,-219,2021-03-20,19:57
Saskatchewan,0,2021-03-20,19:57
TOTAL,-794,2021-03-20,19:57
﻿British Columbia,-575,2021-03-20,19:59
Montana,-222,2021-03-20,19:59
Saskatchewan,0,2021-03-20,19:59
TOTAL,-797,2021-03-20,19:59
﻿British Columbia,-576,2021-03-20,20:01
Montana,-217,2021-03-20,20:01
Saskatchewan,0,2021-03-20,20:01
TOTAL,-793,2021-03-20,20:01
﻿British Columbia,-570,2021-03-20,20:03
Montana,-210,2021-03-20,20:03
Saskatchewan,0,2021-03-20,20:03
TOTAL,-780,2021-03-20,20:03
﻿British Columbia,-584,2021-03-20,20:05
Montana,-205,2021-03-20,20:05
Saskatchewan,0,2021-03-20,20:05
TOTAL,-789,2021-03-20,20:05
﻿British Columbia,-573,2021-03-20,20:07
Montana,-201,2021-03-20,20:07
Saskatchewan,0,2021-03-20,20:07
TOTAL,-774,2021-03-20,20:07
﻿British Columbia,-559,2021-03-20,20:09
Montana,-201,2021-03-20,20:09
Saskatchewan,0,2021-03-20,20:09
TOTAL,-760,2021-03-20,20:09
﻿British Columbia,-539,2021-03-20,20:11
Montana,-195,2021-03-20,20:11
Saskatchewan,0,2021-03-20,20:11
TOTAL,-734,2021-03-20,20:11
﻿British Columbia,-541,2021-03-20,20:13
Montana,-198,2021-03-20,20:13
Saskatchewan,0,2021-03-20,20:13
TOTAL,-739,2021-03-20,20:13
﻿British Columbia,-534,2021-03-20,20:15
Montana,-203,2021-03-20,20:15
Saskatchewan,0,2021-03-20,20:15
TOTAL,-737,2021-03-20,20:15
﻿British Columbia,-517,2021-03-20,20:17
Montana,-210,2021-03-20,20:17
Saskatchewan,0,2021-03-20,20:17
TOTAL,-727,2021-03-20,20:17
﻿British Columbia,-531,2021-03-20,20:20
Montana,-219,2021-03-20,20:20
Saskatchewan,0,2021-03-20,20:20
TOTAL,-750,2021-03-20,20:20
﻿British Columbia,-524,2021-03-20,20:22
Montana,-215,2021-03-20,20:22
Saskatchewan,0,2021-03-20,20:22
TOTAL,-739,2021-03-20,20:22
﻿British Columbia,-515,2021-03-20,20:24
Montana,-211,2021-03-20,20:24
Saskatchewan,0,2021-03-20,20:24
TOTAL,-726,2021-03-20,20:24
﻿British Columbia,-537,2021-03-20,20:26
Montana,-218,2021-03-20,20:26
Saskatchewan,0,2021-03-20,20:26
TOTAL,-755,2021-03-20,20:26
﻿British Columbia,-523,2021-03-20,20:28
Montana,-215,2021-03-20,20:28
Saskatchewan,0,2021-03-20,20:28
TOTAL,-738,2021-03-20,20:28
﻿British Columbia,-550,2021-03-20,20:30
Montana,-220,2021-03-20,20:30
Saskatchewan,0,2021-03-20,20:30
TOTAL,-770,2021-03-20,20:30
﻿British Columbia,-538,2021-03-20,20:32
Montana,-219,2021-03-20,20:32
Saskatchewan,0,2021-03-20,20:32
TOTAL,-757,2021-03-20,20:32
﻿British Columbia,-546,2021-03-20,20:34
Montana,-222,2021-03-20,20:34
Saskatchewan,0,2021-03-20,20:34
TOTAL,-768,2021-03-20,20:34
﻿British Columbia,-524,2021-03-20,20:36
Montana,-225,2021-03-20,20:36
Saskatchewan,0,2021-03-20,20:36
TOTAL,-749,2021-03-20,20:36
﻿British Columbia,-530,2021-03-20,20:38
Montana,-222,2021-03-20,20:38
Saskatchewan,0,2021-03-20,20:38
TOTAL,-752,2021-03-20,20:38
﻿British Columbia,-538,2021-03-20,20:40
Montana,-227,2021-03-20,20:40
Saskatchewan,0,2021-03-20,20:40
TOTAL,-765,2021-03-20,20:40
﻿British Columbia,-534,2021-03-20,20:42
Montana,-225,2021-03-20,20:42
Saskatchewan,0,2021-03-20,20:42
TOTAL,-759,2021-03-20,20:42
﻿British Columbia,-534,2021-03-20,20:44
Montana,-226,2021-03-20,20:44
Saskatchewan,0,2021-03-20,20:44
TOTAL,-760,2021-03-20,20:44
﻿British Columbia,-538,2021-03-20,20:46
Montana,-230,2021-03-20,20:46
Saskatchewan,0,2021-03-20,20:46
TOTAL,-768,2021-03-20,20:46
﻿British Columbia,-523,2021-03-20,20:48
Montana,-219,2021-03-20,20:48
Saskatchewan,0,2021-03-20,20:48
TOTAL,-742,2021-03-20,20:48
﻿British Columbia,-514,2021-03-20,20:50
Montana,-225,2021-03-20,20:50
Saskatchewan,0,2021-03-20,20:50
TOTAL,-739,2021-03-20,20:50
﻿British Columbia,-512,2021-03-20,20:52
Montana,-231,2021-03-20,20:52
Saskatchewan,0,2021-03-20,20:52
TOTAL,-743,2021-03-20,20:52
﻿British Columbia,-538,2021-03-20,20:55
Montana,-232,2021-03-20,20:55
Saskatchewan,0,2021-03-20,20:55
TOTAL,-770,2021-03-20,20:55
﻿British Columbia,-529,2021-03-20,20:57
Montana,-232,2021-03-20,20:57
Saskatchewan,0,2021-03-20,20:57
TOTAL,-761,2021-03-20,20:57
﻿British Columbia,-507,2021-03-20,20:59
Montana,-224,2021-03-20,20:59
Saskatchewan,0,2021-03-20,20:59
TOTAL,-731,2021-03-20,20:59
﻿British Columbia,-506,2021-03-20,21:01
Montana,-225,2021-03-20,21:01
Saskatchewan,0,2021-03-20,21:01
TOTAL,-731,2021-03-20,21:01
﻿British Columbia,-507,2021-03-20,21:03
Montana,-219,2021-03-20,21:03
Saskatchewan,0,2021-03-20,21:03
TOTAL,-726,2021-03-20,21:03
﻿British Columbia,-569,2021-03-20,21:05
Montana,-219,2021-03-20,21:05
Saskatchewan,0,2021-03-20,21:05
TOTAL,-788,2021-03-20,21:05
﻿British Columbia,-557,2021-03-20,21:07
Montana,-224,2021-03-20,21:07
Saskatchewan,0,2021-03-20,21:07
TOTAL,-781,2021-03-20,21:07
﻿British Columbia,-563,2021-03-20,21:09
Montana,-234,2021-03-20,21:09
Saskatchewan,0,2021-03-20,21:09
TOTAL,-797,2021-03-20,21:09
﻿British Columbia,-559,2021-03-20,21:11
Montana,-229,2021-03-20,21:11
Saskatchewan,0,2021-03-20,21:11
TOTAL,-788,2021-03-20,21:11
﻿British Columbia,-553,2021-03-20,21:13
Montana,-231,2021-03-20,21:13
Saskatchewan,0,2021-03-20,21:13
TOTAL,-784,2021-03-20,21:13
﻿British Columbia,-561,2021-03-20,21:15
Montana,-233,2021-03-20,21:15
Saskatchewan,0,2021-03-20,21:15
TOTAL,-794,2021-03-20,21:15
﻿British Columbia,-566,2021-03-20,21:17
Montana,-235,2021-03-20,21:17
Saskatchewan,0,2021-03-20,21:17
TOTAL,-801,2021-03-20,21:17
﻿British Columbia,-566,2021-03-20,21:19
Montana,-247,2021-03-20,21:19
Saskatchewan,0,2021-03-20,21:19
TOTAL,-813,2021-03-20,21:19
﻿British Columbia,-568,2021-03-20,21:21
Montana,-251,2021-03-20,21:21
Saskatchewan,0,2021-03-20,21:21
TOTAL,-819,2021-03-20,21:21
﻿British Columbia,-570,2021-03-20,21:23
Montana,-240,2021-03-20,21:23
Saskatchewan,0,2021-03-20,21:23
TOTAL,-810,2021-03-20,21:23
﻿British Columbia,-583,2021-03-20,21:25
Montana,-242,2021-03-20,21:25
Saskatchewan,0,2021-03-20,21:25
TOTAL,-825,2021-03-20,21:25
﻿British Columbia,-580,2021-03-20,21:27
Montana,-231,2021-03-20,21:27
Saskatchewan,0,2021-03-20,21:27
TOTAL,-811,2021-03-20,21:27
﻿British Columbia,-589,2021-03-20,21:29
Montana,-228,2021-03-20,21:29
Saskatchewan,0,2021-03-20,21:29
TOTAL,-817,2021-03-20,21:29
﻿British Columbia,-597,2021-03-20,21:31
Montana,-226,2021-03-20,21:31
Saskatchewan,0,2021-03-20,21:31
TOTAL,-823,2021-03-20,21:31
﻿British Columbia,-599,2021-03-20,21:34
Montana,-230,2021-03-20,21:34
Saskatchewan,0,2021-03-20,21:34
TOTAL,-829,2021-03-20,21:34
﻿British Columbia,-591,2021-03-20,21:36
Montana,-229,2021-03-20,21:36
Saskatchewan,0,2021-03-20,21:36
TOTAL,-820,2021-03-20,21:36
﻿British Columbia,-584,2021-03-20,21:38
Montana,-231,2021-03-20,21:38
Saskatchewan,0,2021-03-20,21:38
TOTAL,-815,2021-03-20,21:38
﻿British Columbia,-591,2021-03-20,21:40
Montana,-234,2021-03-20,21:40
Saskatchewan,0,2021-03-20,21:40
TOTAL,-825,2021-03-20,21:40
﻿British Columbia,-581,2021-03-20,21:42
Montana,-232,2021-03-20,21:42
Saskatchewan,0,2021-03-20,21:42
TOTAL,-813,2021-03-20,21:42
﻿British Columbia,-580,2021-03-20,21:44
Montana,-229,2021-03-20,21:44
Saskatchewan,0,2021-03-20,21:44
TOTAL,-809,2021-03-20,21:44
﻿British Columbia,-562,2021-03-20,21:46
Montana,-228,2021-03-20,21:46
Saskatchewan,0,2021-03-20,21:46
TOTAL,-790,2021-03-20,21:46
﻿British Columbia,-551,2021-03-20,21:48
Montana,-226,2021-03-20,21:48
Saskatchewan,0,2021-03-20,21:48
TOTAL,-777,2021-03-20,21:48
﻿British Columbia,-565,2021-03-20,21:50
Montana,-228,2021-03-20,21:50
Saskatchewan,0,2021-03-20,21:50
TOTAL,-793,2021-03-20,21:50
﻿British Columbia,-566,2021-03-20,21:52
Montana,-237,2021-03-20,21:52
Saskatchewan,0,2021-03-20,21:52
TOTAL,-803,2021-03-20,21:52
﻿British Columbia,-570,2021-03-20,21:54
Montana,-232,2021-03-20,21:54
Saskatchewan,0,2021-03-20,21:54
TOTAL,-802,2021-03-20,21:54
﻿British Columbia,-557,2021-03-20,21:56
Montana,-236,2021-03-20,21:56
Saskatchewan,0,2021-03-20,21:56
TOTAL,-793,2021-03-20,21:56
﻿British Columbia,-563,2021-03-20,21:58
Montana,-235,2021-03-20,21:58
Saskatchewan,0,2021-03-20,21:58
TOTAL,-798,2021-03-20,21:58
﻿British Columbia,-520,2021-03-20,22:00
Montana,-235,2021-03-20,22:00
Saskatchewan,0,2021-03-20,22:00
TOTAL,-755,2021-03-20,22:00
﻿British Columbia,-543,2021-03-20,22:02
Montana,-238,2021-03-20,22:02
Saskatchewan,0,2021-03-20,22:02
TOTAL,-781,2021-03-20,22:02
﻿British Columbia,-561,2021-03-20,22:04
Montana,-253,2021-03-20,22:04
Saskatchewan,0,2021-03-20,22:04
TOTAL,-814,2021-03-20,22:04
﻿British Columbia,-590,2021-03-20,22:06
Montana,-242,2021-03-20,22:06
Saskatchewan,0,2021-03-20,22:06
TOTAL,-832,2021-03-20,22:06
﻿British Columbia,-597,2021-03-20,22:08
Montana,-241,2021-03-20,22:08
Saskatchewan,0,2021-03-20,22:08
TOTAL,-838,2021-03-20,22:08
﻿British Columbia,-591,2021-03-20,22:10
Montana,-236,2021-03-20,22:10
Saskatchewan,0,2021-03-20,22:10
TOTAL,-827,2021-03-20,22:10
﻿British Columbia,-583,2021-03-20,22:13
Montana,-245,2021-03-20,22:13
Saskatchewan,0,2021-03-20,22:13
TOTAL,-828,2021-03-20,22:13
﻿British Columbia,-597,2021-03-20,22:15
Montana,-242,2021-03-20,22:15
Saskatchewan,0,2021-03-20,22:15
TOTAL,-839,2021-03-20,22:15
﻿British Columbia,-582,2021-03-20,22:17
Montana,-240,2021-03-20,22:17
Saskatchewan,0,2021-03-20,22:17
TOTAL,-822,2021-03-20,22:17
﻿British Columbia,-587,2021-03-20,22:19
Montana,-247,2021-03-20,22:19
Saskatchewan,0,2021-03-20,22:19
TOTAL,-834,2021-03-20,22:19
﻿British Columbia,-592,2021-03-20,22:21
Montana,-245,2021-03-20,22:21
Saskatchewan,0,2021-03-20,22:21
TOTAL,-837,2021-03-20,22:21
﻿British Columbia,-596,2021-03-20,22:23
Montana,-241,2021-03-20,22:23
Saskatchewan,0,2021-03-20,22:23
TOTAL,-837,2021-03-20,22:23
﻿British Columbia,-608,2021-03-20,22:25
Montana,-247,2021-03-20,22:25
Saskatchewan,0,2021-03-20,22:25
TOTAL,-855,2021-03-20,22:25
﻿British Columbia,-616,2021-03-20,22:27
Montana,-239,2021-03-20,22:27
Saskatchewan,0,2021-03-20,22:27
TOTAL,-855,2021-03-20,22:27
﻿British Columbia,-616,2021-03-20,22:29
Montana,-240,2021-03-20,22:29
Saskatchewan,0,2021-03-20,22:29
TOTAL,-856,2021-03-20,22:29
﻿British Columbia,-604,2021-03-20,22:31
Montana,-237,2021-03-20,22:31
Saskatchewan,0,2021-03-20,22:31
TOTAL,-841,2021-03-20,22:31
﻿British Columbia,-599,2021-03-20,22:33
Montana,-232,2021-03-20,22:33
Saskatchewan,0,2021-03-20,22:33
TOTAL,-831,2021-03-20,22:33
﻿British Columbia,-607,2021-03-20,22:35
Montana,-235,2021-03-20,22:35
Saskatchewan,0,2021-03-20,22:35
TOTAL,-842,2021-03-20,22:35
﻿British Columbia,-613,2021-03-20,22:37
Montana,-235,2021-03-20,22:37
Saskatchewan,0,2021-03-20,22:37
TOTAL,-848,2021-03-20,22:37
﻿British Columbia,-589,2021-03-20,22:39
Montana,-239,2021-03-20,22:39
Saskatchewan,0,2021-03-20,22:39
TOTAL,-828,2021-03-20,22:39
﻿British Columbia,-584,2021-03-20,22:41
Montana,-227,2021-03-20,22:41
Saskatchewan,0,2021-03-20,22:41
TOTAL,-811,2021-03-20,22:41
﻿British Columbia,-628,2021-03-20,22:44
Montana,-234,2021-03-20,22:44
Saskatchewan,0,2021-03-20,22:44
TOTAL,-862,2021-03-20,22:44
﻿British Columbia,-604,2021-03-20,22:46
Montana,-234,2021-03-20,22:46
Saskatchewan,0,2021-03-20,22:46
TOTAL,-838,2021-03-20,22:46
﻿British Columbia,-611,2021-03-20,22:48
Montana,-233,2021-03-20,22:48
Saskatchewan,0,2021-03-20,22:48
TOTAL,-844,2021-03-20,22:48
﻿British Columbia,-593,2021-03-20,22:50
Montana,-228,2021-03-20,22:50
Saskatchewan,0,2021-03-20,22:50
TOTAL,-821,2021-03-20,22:50
﻿British Columbia,-576,2021-03-20,22:52
Montana,-212,2021-03-20,22:52
Saskatchewan,0,2021-03-20,22:52
TOTAL,-788,2021-03-20,22:52
﻿British Columbia,-537,2021-03-20,22:54
Montana,-205,2021-03-20,22:54
Saskatchewan,0,2021-03-20,22:54
TOTAL,-742,2021-03-20,22:54
﻿British Columbia,-494,2021-03-20,22:56
Montana,-216,2021-03-20,22:56
Saskatchewan,0,2021-03-20,22:56
TOTAL,-710,2021-03-20,22:56
﻿British Columbia,-471,2021-03-20,22:58
Montana,-232,2021-03-20,22:58
Saskatchewan,0,2021-03-20,22:58
TOTAL,-703,2021-03-20,22:58
﻿British Columbia,-447,2021-03-20,23:00
Montana,-228,2021-03-20,23:00
Saskatchewan,0,2021-03-20,23:00
TOTAL,-675,2021-03-20,23:00
﻿British Columbia,-423,2021-03-20,23:02
Montana,-248,2021-03-20,23:02
Saskatchewan,0,2021-03-20,23:02
TOTAL,-671,2021-03-20,23:02
﻿British Columbia,-426,2021-03-20,23:04
Montana,-243,2021-03-20,23:04
Saskatchewan,0,2021-03-20,23:04
TOTAL,-669,2021-03-20,23:04
﻿British Columbia,-352,2021-03-20,23:06
Montana,-244,2021-03-20,23:06
Saskatchewan,0,2021-03-20,23:06
TOTAL,-596,2021-03-20,23:06
﻿British Columbia,-337,2021-03-20,23:08
Montana,-265,2021-03-20,23:08
Saskatchewan,0,2021-03-20,23:08
TOTAL,-602,2021-03-20,23:08
﻿British Columbia,-341,2021-03-20,23:10
Montana,-268,2021-03-20,23:10
Saskatchewan,0,2021-03-20,23:10
TOTAL,-609,2021-03-20,23:10
﻿British Columbia,-375,2021-03-20,23:12
Montana,-293,2021-03-20,23:12
Saskatchewan,0,2021-03-20,23:12
TOTAL,-668,2021-03-20,23:12
﻿British Columbia,-350,2021-03-20,23:14
Montana,-292,2021-03-20,23:14
Saskatchewan,0,2021-03-20,23:14
TOTAL,-642,2021-03-20,23:14
﻿British Columbia,-360,2021-03-20,23:16
Montana,-297,2021-03-20,23:16
Saskatchewan,0,2021-03-20,23:16
TOTAL,-657,2021-03-20,23:16
﻿British Columbia,-340,2021-03-20,23:18
Montana,-289,2021-03-20,23:18
Saskatchewan,0,2021-03-20,23:18
TOTAL,-629,2021-03-20,23:18
﻿British Columbia,-364,2021-03-20,23:21
Montana,-290,2021-03-20,23:21
Saskatchewan,0,2021-03-20,23:21
TOTAL,-654,2021-03-20,23:21
﻿British Columbia,-347,2021-03-20,23:23
Montana,-298,2021-03-20,23:23
Saskatchewan,0,2021-03-20,23:23
TOTAL,-645,2021-03-20,23:23
﻿British Columbia,-357,2021-03-20,23:25
Montana,-289,2021-03-20,23:25
Saskatchewan,0,2021-03-20,23:25
TOTAL,-646,2021-03-20,23:25
﻿British Columbia,-345,2021-03-20,23:27
Montana,-277,2021-03-20,23:27
Saskatchewan,0,2021-03-20,23:27
TOTAL,-622,2021-03-20,23:27
﻿British Columbia,-348,2021-03-20,23:29
Montana,-281,2021-03-20,23:29
Saskatchewan,0,2021-03-20,23:29
TOTAL,-629,2021-03-20,23:29
